日期,時間,機種,機號,商品條碼,狀態,原因
2021/12/16,下午 06:55:33,CU-LJ22BHA2,0DN1110243,20210311|C4309-1830+C1|NFD-52FV-D836-1|01359,OK,照合OK
2021/12/16,下午 06:59:53,GCK27H,79F1120416,20210311|C4309-1830+C1|NFD-52FV-D836-1|01359,NG,三聯單及商品條碼照合錯誤
2021/12/16,下午 07:14:22,CU-LJ22BHA2,0DN1110243,C4730-9513_20211109_CO00525,NG,商品條碼照合錯誤
2021/12/16,下午 07:15:26,GCK27H,79F1120416,20210311|C4309-1830+C1|NFD-52FV-D836-1|01359,NG,三聯單及商品條碼照合錯誤
2021/12/16,下午 08:14:54,CU-LJ22BHA2,0DN1110243,9SS064XCB21F0108910,NG,商品條碼照合錯誤
2021/12/16,下午 08:15:01,CU-LJ22BHA2,0DN1110243,C4730-9513_20211109_CO00525,NG,商品條碼照合錯誤
2021/12/16,下午 08:15:08,CU-LJ22BHA2,0DN1110243,20210311|C4309-1830+C1|NFD-52FV-D836-1|01359,OK,照合OK
2021/12/16,下午 08:15:54,CU-LJ22BHA2,0DN1110243,20210311|C4309-1830+C1|NFD-52FV-D836-1|01359,OK,照合OK
2021/12/16,下午 08:18:15,CU-LJ22BHA2,0DN1110243,20210311|C4309-1830+C1|NFD-52FV-D836-1|01359,OK,照合OK
2021/12/16,下午 08:25:08,CU-LJ22BHA2,0DN1110243,20210311|C4309-1830+C1|NFD-52FV-D836-1|01359,OK,照合OK
