日期,時間,機種,機號,壓縮機,馬達,電源板,狀態,原因,,
2022/2/18,上午 10:18:03,F-Y26JH,2AI1110001,4717523590715,4717523590715,4717523590715,NG,照合準備中,,
2022/2/18,上午 10:24:11,F-Y26JH,2AI1110001,4717523590715,4717523590715,4717523590715,NG,照合錯誤,請重新掃描,
2022/2/18,上午 10:29:58,F-Y26JH,2AI1110001,4717523590715,4717523590715,4717523590715,OK,照合OK,,
2022/2/18,上午 10:38:59,F-YCM33H,95X1120215,4717523590715,4717523590715,4717523590715,NG,照合錯誤,請重新掃描,
2022/2/18,上午 10:43:58,F-YCM33H,95X1120215,4717523590715,4717523590715,4717523590715,NG,照合錯誤!,,
2022/2/18,上午 10:44:33,F-Y26JH,2AI1110001,4717523590715,4717523590715,4717523590715,OK,照合OK,,
2022/2/18,上午 10:44:55,F-Y26JH,2AI1110001,4717523590715,4717523590715,F-Y26JH,NG,照合錯誤!,,
2022/2/18,上午 10:48:53,F-YCM33H,95X1120215,4717523590715,4717523590715,4717523590715,NG,照合錯誤!,,
2022/2/18,上午 10:49:09,F-Y26JH,2AI1110001,4717523590715,4717523590715,4717523590715,OK,照合OK,,
2022/2/18,上午 10:53:53,F-YCM33H,95X1120215,4717523590715,4717523590715,4717523590715,NG,照合錯誤!,,
2022/2/18,上午 10:54:06,F-Y26JH,2AI1110001,4717523590715,4717523590715,4717523590715,OK,照合OK,,
