機種,機號,壓縮機,馬達,電源板
CU-22EJH,0YP,9SS064XCB21,C4309-1830+C1,C4730-9512
CU-28EPH,0YF,9SS052XAA21,C4309-2330+C2,C4731-1870
CU-2J45FCA2,0VK,9SS080XBA21,C4309-2540+C2,C4731-4740
CU-2J45FCA2-S,0VK,9SS080XBA21,C4309-2540+C2,C4731-4740
CU-2J45FHA2,0VL,9SS080XBA21,C4309-2540+C2,C4731-4740
CU-2J45FHA2-S,0VL,9SS080XBA21,C4309-2540+C2,C4731-4740
CU-36EJC-S,2OI,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-36EJH,0YR,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-36EKC,0ZU,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-36EKC-S,2PB,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-36EPH,0YG,9SS080XBA21,C4309-2540+C2,C4731-1870
CU-40EJH,0YS,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-40EJH-S,2NZ,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-40EKC,0ZV,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-40EPH,0YH,9SS080XBA21,C4309-2540+C2,C4731-1870
CU-40FLC,2WS,9SS080XDA21,C4309-2090+C1,C4731-6380
CU-4J130FCA2,0PN,5KD240XAK21,C4309-2430+C1,C4731-3840
CU-4J130FCA2-S,0PN,5KD240XAK21,C4309-2430+C1,C4731-3840
CU-4J130FHA2,0PO,5KD240XAK21,C4309-2430+C1,C4731-3850
CU-4J130FHA2-S,0PO,5KD240XAK21,C4309-2430+C1,C4731-3850
CU-4J150FCA2,0PP,5VD330XAA21,C4309-2430+C1,C4731-3840
CU-4J150FCA2-S,0PP,5VD330XAA21,C4309-2430+C1,C4731-3840
CU-4J150FHA2,0PQ,5VD330XAA21,C4309-2430+C1,C4731-3850
CU-4J150FHA2-S,0PQ,5VD330XAA21,C4309-2430+C1,C4731-3850
CU-50EJH,0YT,9RS102XJA21,C4309-2330+C2,C4731-4710
CU-50EKC,0ZW,9RS102XJA21,C4309-2330+C2,C4731-4710
CU-50FLC,2WT,9WS098XCA21,C4309-2330+C2,C4731-4710
CU-71ELC,1BV,9RD138XBB21,C4309-2580,C4731-1890
CU-80ELC,2AF,9RD198XAB21,C4309-2080+C1,C4731-5690
CU-80ELC-S,3GH,9RD198XAB21,C4309-2080+C1,C4731-5690
CU-K22BCA2,0EF,9SS064XCB21,C4309-1830+C1,C4730-9512
CU-K22BCA2-S,0EF,9SS064XCB21,C4309-1830+C1,C4730-9512
CU-K22BHA2,0PE,9SS064XCB21,C4309-1830+C1,C4730-9512
CU-K22BHA2-S,0PE,9SS064XCB21,C4309-1830+C1,C4730-9512
CU-K22FHA2,2CV,9SS064XGA21,C4309-1830+C1,C4731-6540
CU-K28BCA2,0EG,9SS064XCB21,C4309-1830+C1,C4730-9512
CU-K28BCA2-S,0EG,9SS064XCB21,C4309-1830+C1,C4730-9512
CU-K28BHA2,0PF,9SS064XCB21,C4309-1830+C1,C4730-9512
CU-K28BHA2-S,0PF,9SS064XCB21,C4309-1830+C1,C4730-9512
CU-K28FCA2,2DG,9SS064XGA21,C4309-1830+C1,C4731-6370
CU-K28FCA2-S,2VX,9SS064XGA21,C4309-1830+C1,C4731-6370
CU-K28FHA2,2CW,9SS064XGA21,C4309-1830+C1,C4731-6370
CU-K36BCA2,0EH,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-K36BCA2-S,2IU,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-K36BHA2,0PG,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-K36BHA2-S,2IL,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-K36FCA2,2DH,9SS080XDA21,C4309-2090+C1,C4731-6380
CU-K36FCA2-S,2VY,9SS080XDA21,C4309-2090+C1,C4731-6380
CU-K36FHA2,2CX,9SS080XDA21,C4309-2090+C1,C4731-6380
CU-K36FHA2-S,2VO,9SS080XDA21,C4309-2090+C1,C4731-6380
CU-K40BCA2,0EI,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-K40BCA2-S,0EI,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-K40BHA2,0PH,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-K40BHA2-S,2IM,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-K40FCA2,2DI,9SS080XDA21,C4309-2090+C1,C4731-6380
CU-K40FCA2-S,2VS,9SS080XDA21,C4309-2090+C1,C4731-6380
